reaction,reaction_normalized,custom_group,custom_group_label,mapping_basis
Allergic Eosinophilia,Allergic Eosinophilia,immune_inflammatory,Immune and inflammatory,rule
Foetal Alcohol Syndrome,Foetal Alcohol Syndrome,pregnancy,Pregnancy and perinatal,rule
Gelatinous Transformation Of The Bone Marrow,Gelatinous Transformation Of The Bone Marrow,musculoskeletal,Musculoskeletal,rule
Testicular Infarction,Testicular Infarction,laboratory,Laboratory and investigation,rule
Medical Device Site Eczema,Medical Device Site Eczema,device,Device and procedure-related,rule
Purpura Senile,Purpura Senile,other,Other / manual review,fallback
Lacrimation Disorder,Lacrimation Disorder,other,Other / manual review,fallback
Premature Recovery From Anaesthesia,Premature Recovery From Anaesthesia,other,Other / manual review,fallback
Nipple Exudate Bloody,Nipple Exudate Bloody,other,Other / manual review,fallback
Neonatal Cholestasis,Neonatal Cholestasis,pregnancy,Pregnancy and perinatal,rule
Viral Acanthoma,Viral Acanthoma,infection,Infections,rule
Biopsy Skin Abnormal,Biopsy Skin Abnormal,laboratory,Laboratory and investigation,rule
Hepatitis Alcoholic,Hepatitis Alcoholic,infection,Infections,rule
Nerve Root Injury,Nerve Root Injury,neurological,Nervous system and neurological,rule
Hodgkin^S Disease Nodular Sclerosis Stage Iii,Hodgkin^S Disease Nodular Sclerosis Stage Iii,other,Other / manual review,fallback
Cd30 Expression,Cd30 Expression,other,Other / manual review,fallback
Exposure To Household Chemicals,Exposure To Household Chemicals,injury,Injury and poisoning,rule
Pyelonephritis Fungal,Pyelonephritis Fungal,infection,Infections,rule
Incarcerated Umbilical Hernia,Incarcerated Umbilical Hernia,other,Other / manual review,fallback
Argon Plasma Coagulation,Argon Plasma Coagulation,laboratory,Laboratory and investigation,rule
Large Intestine Anastomosis,Large Intestine Anastomosis,laboratory,Laboratory and investigation,rule
Psychopathic Personality,Psychopathic Personality,psychiatric,Psychiatric and behavioural,rule
Gastric Fistula Repair,Gastric Fistula Repair,gastrointestinal,Gastrointestinal,rule
Pneumonia Adenoviral,Pneumonia Adenoviral,infection,Infections,rule
Visual Midline Shift Syndrome,Visual Midline Shift Syndrome,ocular,Eye and vision,rule
Paranasal Sinus Injury,Paranasal Sinus Injury,respiratory,Respiratory,rule
Inadequate Aseptic Technique In Use Of Product,Inadequate Aseptic Technique In Use Of Product,other,Other / manual review,fallback
Meningitis Leptospiral,Meningitis Leptospiral,infection,Infections,rule
Type Iii Immune Complex Mediated Reaction,Type Iii Immune Complex Mediated Reaction,immune_inflammatory,Immune and inflammatory,rule
Potter^S Syndrome,Potter^S Syndrome,other,Other / manual review,fallback
Hepatosplenic Abscess,Hepatosplenic Abscess,other,Other / manual review,fallback
Blindness Congenital,Blindness Congenital,other,Other / manual review,fallback
Atypical Mycobacterial Pneumonia,Atypical Mycobacterial Pneumonia,infection,Infections,rule
Sweating Fever,Sweating Fever,general,General symptoms,rule
Multiple Lentigines Syndrome,Multiple Lentigines Syndrome,other,Other / manual review,fallback
Double Hit Lymphoma,Double Hit Lymphoma,neoplasm,Neoplasms,rule
Chronic Cutaneous Lupus Erythematosus,Chronic Cutaneous Lupus Erythematosus,dermatological,Skin and subcutaneous tissue,rule
